"#account_id",$part_date,_col2
1868317288,2019-11-13,2
1916070196,2019-11-13,15
1874580227,2019-11-13,2
1932432427,2019-11-13,1
1921505999,2019-11-10,1
1930204652,2019-11-10,1
1917130955,2019-11-10,7
1919358243,2019-11-10,1
1857783919,2019-11-10,1
1919929946,2019-11-10,1
1923478577,2019-11-10,1
1868932821,2019-11-10,1
1920284416,2019-11-10,1
1915666167,2019-11-10,2
1919505625,2019-11-10,1
1920935996,2019-11-10,4
1928303167,2019-11-10,7
1930535607,2019-11-10,1
1862408799,2019-11-10,1
1921946731,2019-11-10,1
1876709954,2019-11-10,2
1931900149,2019-11-10,1
1845864726,2019-11-10,1
1926803573,2019-11-10,1
1926376410,2019-11-10,1
1920874369,2019-11-10,1
1931117115,2019-11-10,1
1927904334,2019-11-10,1
1930062742,2019-11-10,1
1851280077,2019-11-10,1
1913762576,2019-11-14,1
1868851308,2019-11-14,4
1914320203,2019-11-14,2
1878339237,2019-11-14,1
1845581706,2019-11-13,1
1869900881,2019-11-13,2
1919683775,2019-11-13,1
1930292174,2019-11-13,1
1834459274,2019-11-13,1
1930343921,2019-11-13,1
1922739711,2019-11-13,1
1932502372,2019-11-14,2
1866171078,2019-11-14,1
1917007838,2019-11-14,1
1923179421,2019-11-14,1
1931347804,2019-11-12,1
1921944849,2019-11-12,1
1862391710,2019-11-12,7
1932285345,2019-11-12,2
1914907951,2019-11-12,5
1925319942,2019-11-12,1
1924191975,2019-11-12,2
1931077768,2019-11-12,1
1923250071,2019-11-12,1
1847333419,2019-11-12,1
1845624485,2019-11-12,1
1925993267,2019-11-12,1
1913838179,2019-11-12,1
1932353791,2019-11-12,1
1849315918,2019-11-12,1
1918512665,2019-11-12,1
1931616959,2019-11-12,1
1931899496,2019-11-12,1
1932082457,2019-11-12,1
1932462737,2019-11-13,3
1927758049,2019-11-13,2
1852203037,2019-11-13,2
1932614431,2019-11-13,1
1931945364,2019-11-13,1
1929328711,2019-11-13,1
1923085201,2019-11-11,1
1923463716,2019-11-11,1
1850493608,2019-11-11,1
1913793686,2019-11-11,1
1932006494,2019-11-11,1
1867223027,2019-11-11,1
1918154562,2019-11-11,1
1847333419,2019-11-11,1
1872076563,2019-11-11,1
1932038976,2019-11-11,2
1858954385,2019-11-11,1
